Post ID,Project Name,Source,Categories
441,Providing consistent dependable portable solar energy devices,SDG_projects,"Climate Action & Environmental Sustainability"
442,Increasing earning potential of smallholder farmers,SDG_projects,"Economic Equality & Livelihoods"
443,Enabling 1 million women and girls coders by 2030,SDG_projects,"Women's Economic Empowerment,Education & Digital Literacy,Youth Capacity Building & Leadership"
444,M-TIBA - harnessing mobile money potential,SDG_projects,"Economic Equality & Livelihoods,Innovation & Technology for Development"
445,Disruptive onsite alternative to centralised waste processing,SDG_projects,"Climate Action & Environmental Sustainability"
446,Reprogramming and Digitally Empowering Brazil,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership"
447,Solid waste sustainable eco-friendly furniture,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
448,JokkoSanté - first digital community pharmacy,SDG_projects,"Health & Wellbeing,Innovation & Technology for Development"
449,Manage your flow know your body,SDG_projects,"Health & Wellbeing,Gender Equality & Women's Rights"
450,Sanitize water save future generations,SDG_projects,"Climate Action & Environmental Sustainability,Health & Wellbeing"
451,With what3words everyone has precise addressing,SDG_projects,"Innovation & Technology for Development"
452,IoT enabled clean cookstove that generates electricity,SDG_projects,"Climate Action & Environmental Sustainability"
453,PEN equips West African STEM teachers,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership"
454,Color is the new black - Illiteracy solutions,SDG_projects,"Education & Digital Literacy"
455,Inga Alley Cropping - wonder tree for food,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
456,Innovative Solutions for Molecular Detection of Hepatitis C,SDG_projects,"Health & Wellbeing"
457,Curriculum-based educative gaming technology,SDG_projects,"Education & Digital Literacy"
458,SaferEx purifies unsafe water,SDG_projects,"Health & Wellbeing,Climate Action & Environmental Sustainability"
459,Food Water and Environmental Security through Early Warning,SDG_projects,"Climate Action & Environmental Sustainability"
460,iCivil CRVS - Civil Registration and Vital Statistics,SDG_projects,"Innovation & Technology for Development,Social Justice & Human Rights"
461,Grow More and Save More with Fuel-less Water Pumps,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
462,Empowering women to change their world through water,SDG_projects,"Women's Economic Empowerment,Health & Wellbeing"
463,Smart and Eco-friendly public sanitation solutions,SDG_projects,"Climate Action & Environmental Sustainability,Health & Wellbeing"
464,Tracking maternal and child health at last mile,SDG_projects,"Health & Wellbeing"
465,JERApp - digital platform for collection and reporting,SDG_projects,"Innovation & Technology for Development"
466,Portable solar-powered pre-loaded educational tablet,SDG_projects,"Education & Digital Literacy,Climate Action & Environmental Sustainability"
467,Refugee-led culturally inspired early childhood program,SDG_projects,"Migration Displacement & Refugee Support,Education & Digital Literacy,Social Justice & Human Rights"
468,We make visual data AI ready,SDG_projects,"Innovation & Technology for Development"
469,Demand for drinkable water solutions,SDG_projects,"Climate Action & Environmental Sustainability,Health & Wellbeing"
470,Don't let anything go to waste - Food waste solutions,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
471,Blended learning assisted education,SDG_projects,"Education & Digital Literacy"
472,Those who feed us need us - Farmer support,SDG_projects,"Economic Equality & Livelihoods"
473,Small water enterprises - locally owned businesses,SDG_projects,"Economic Equality & Livelihoods,Climate Action & Environmental Sustainability"
474,Marketplace for communities in crisis,SDG_projects,"Social Justice & Human Rights,Economic Equality & Livelihoods"
475,Papersmart Industries locally manufactures paper products,SDG_projects,"Economic Equality & Livelihoods"
476,Zumbido Health - support groups accessible,SDG_projects,"Health & Wellbeing"
477,Energiewende 3.0 - Smart Peer-to-Peer Solar Grids,SDG_projects,"Climate Action & Environmental Sustainability"
478,Increasing livelihoods through enabling smallholder farmers,SDG_projects,"Economic Equality & Livelihoods"
479,First Amateur Five-a-Side World Cup,SDG_projects,"Youth Capacity Building & Leadership"
480,Strengthening community responses against organized crime,SDG_projects,"Peacebuilding & Conflict Resolution,Social Justice & Human Rights"
481,Gaza Sky Geeks - co-working space,SDG_projects,"Youth Capacity Building & Leadership,Economic Equality & Livelihoods"
482,Agro-Hub - production and marketing agency,SDG_projects,"Economic Equality & Livelihoods"
483,Inclusive entrepreneurship for persons with disabilities,SDG_projects,"Social Justice & Human Rights,Economic Equality & Livelihoods"
484,Katingan Mentaya Project - carbon finance,SDG_projects,"Climate Action & Environmental Sustainability"
485,Digital two-way communication channel for government,SDG_projects,"Democracy & Civic Participation,Innovation & Technology for Development"
486,Training tool for Healthcare Workers,SDG_projects,"Health & Wellbeing,Education & Digital Literacy"
487,Assisting marginalised communities to diversity income,SDG_projects,"Economic Equality & Livelihoods,Social Justice & Human Rights"
488,Integrated Family Health Platform,SDG_projects,"Health & Wellbeing"
489,Reduce Non-point source pollution,SDG_projects,"Climate Action & Environmental Sustainability"
490,Big DATA IoT linked hygiene station,SDG_projects,"Health & Wellbeing,Innovation & Technology for Development"
491,Giving rural women chance to safer pregnancy outcomes,SDG_projects,"Women's Economic Empowerment,Health & Wellbeing"
492,Hiring local people for doorstep TB service delivery,SDG_projects,"Health & Wellbeing,Economic Equality & Livelihoods"
493,Plastic wastes - upcycle not downrecycle,SDG_projects,"Climate Action & Environmental Sustainability"
494,EDP catalyzes power of community for national improvement,SDG_projects,"Community Development,Education & Digital Literacy"
495,AgriFin - innovative digital farmer financing,SDG_projects,"Economic Equality & Livelihoods,Innovation & Technology for Development"
496,Home-kitchen based micro-enterprise for nutrition,SDG_projects,"Economic Equality & Livelihoods,Health & Wellbeing"
497,Solar Powered Oxygen Delivery,SDG_projects,"Health & Wellbeing,Climate Action & Environmental Sustainability"
498,Tackling Antimicrobial Resistance,SDG_projects,"Health & Wellbeing"
499,Waste service - complete bio medical waste management,SDG_projects,"Health & Wellbeing,Climate Action & Environmental Sustainability"
500,Geo Alerting solution for Cities,SDG_projects,"Innovation & Technology for Development"
501,Safe journeys to school - road safety app,SDG_projects,"Youth Capacity Building & Leadership,Social Justice & Human Rights"
502,Creating access to quality education in restricted zones,SDG_projects,"Education & Digital Literacy,Social Justice & Human Rights"
503,Reviving intangible cultural heritage,SDG_projects,"Cultural Preservation & Social Cohesion"
504,Connecting citizen to governments to improve democracy,SDG_projects,"Democracy & Civic Participation"
505,CoalitionWILD - equipping young leaders,SDG_projects,"Youth Capacity Building & Leadership,Climate Action & Environmental Sustainability"
506,Creating sustainable rural livelihoods ending poverty,SDG_projects,"Economic Equality & Livelihoods,Localizing SDGs & Community Development"
507,IndexPortal Edu - software organizing companies,SDG_projects,"Innovation & Technology for Development,Education & Digital Literacy"
508,Food Freshness Card - food quality indicator,SDG_projects,"Health & Wellbeing,Innovation & Technology for Development"
509,Chemical process for solid waste solution,SDG_projects,"Climate Action & Environmental Sustainability"
